SystemCodeNumber,Capacity,Occupancy,LastUpdated,OccupancyRate,OccupancyPercent,AvailableSpaces,Date,Hour,Minute,DayOfWeek,DayName,IsWeekend,IsPeakHour,DemandLevel
BHMBCCMKT01,577,61,2016-10-04 07:59:42,0.1057192374350086,10.571923743500866,516,2016-10-04,7,59,1,Tuesday,0,0,Low
BHMBCCMKT01,577,64,2016-10-04 08:25:42,0.1109185441941074,11.091854419410744,513,2016-10-04,8,25,1,Tuesday,0,0,Low
BHMBCCMKT01,577,80,2016-10-04 08:59:42,0.1386481802426343,13.864818024263432,497,2016-10-04,8,59,1,Tuesday,0,0,Low
BHMBCCMKT01,577,107,2016-10-04 09:32:46,0.1854419410745234,18.544194107452338,470,2016-10-04,9,32,1,Tuesday,0,1,Low
BHMBCCMKT01,577,150,2016-10-04 09:59:48,0.2599653379549393,25.99653379549394,427,2016-10-04,9,59,1,Tuesday,0,1,Low
BHMBCCMKT01,577,177,2016-10-04 10:26:49,0.3067590987868284,30.675909878682845,400,2016-10-04,10,26,1,Tuesday,0,1,Moderate
BHMBCCMKT01,577,219,2016-10-04 10:59:48,0.3795493934142114,37.954939341421145,358,2016-10-04,10,59,1,Tuesday,0,1,Moderate
BHMBCCMKT01,577,247,2016-10-04 11:25:47,0.4280762564991334,42.80762564991335,330,2016-10-04,11,25,1,Tuesday,0,1,Moderate
BHMBCCMKT01,577,259,2016-10-04 11:59:44,0.4488734835355286,44.88734835355286,318,2016-10-04,11,59,1,Tuesday,0,1,Moderate
BHMBCCMKT01,577,266,2016-10-04 12:29:45,0.4610051993067591,46.10051993067591,311,2016-10-04,12,29,1,Tuesday,0,1,Moderate
BHMBCCMKT01,577,269,2016-10-04 13:02:48,0.4662045060658579,46.62045060658579,308,2016-10-04,13,2,1,Tuesday,0,1,Moderate
BHMBCCMKT01,577,263,2016-10-04 13:29:45,0.4558058925476603,45.58058925476603,314,2016-10-04,13,29,1,Tuesday,0,1,Moderate
BHMBCCMKT01,577,238,2016-10-04 14:02:47,0.4124783362218371,41.24783362218371,339,2016-10-04,14,2,1,Tuesday,0,1,Moderate
BHMBCCMKT01,577,215,2016-10-04 14:29:49,0.3726169844020797,37.26169844020797,362,2016-10-04,14,29,1,Tuesday,0,1,Moderate
BHMBCCMKT01,577,192,2016-10-04 14:57:13,0.3327556325823224,33.27556325823224,385,2016-10-04,14,57,1,Tuesday,0,1,Moderate
BHMBCCMKT01,577,165,2016-10-04 15:30:14,0.2859618717504332,28.59618717504333,412,2016-10-04,15,30,1,Tuesday,0,1,Low
BHMBCCMKT01,577,162,2016-10-04 16:04:12,0.2807625649913345,28.07625649913345,415,2016-10-04,16,4,1,Tuesday,0,1,Low
BHMBCCMKT01,577,143,2016-10-04 16:31:14,0.2478336221837088,24.783362218370883,434,2016-10-04,16,31,1,Tuesday,0,1,Low
BHMBCCMKT01,577,54,2016-10-05 07:57:17,0.0935875216637781,9.358752166377815,523,2016-10-05,7,57,2,Wednesday,0,0,Low
BHMBCCMKT01,577,59,2016-10-05 08:30:15,0.1022530329289428,10.22530329289428,518,2016-10-05,8,30,2,Wednesday,0,0,Low
BHMBCCMKT01,577,71,2016-10-05 09:04:19,0.1230502599653379,12.305025996533796,506,2016-10-05,9,4,2,Wednesday,0,1,Low
BHMBCCMKT01,577,83,2016-10-05 09:30:15,0.1438474870017331,14.384748700173311,494,2016-10-05,9,30,2,Wednesday,0,1,Low
BHMBCCMKT01,577,114,2016-10-05 10:04:15,0.1975736568457539,19.75736568457539,463,2016-10-05,10,4,2,Wednesday,0,1,Low
BHMBCCMKT01,577,128,2016-10-05 10:30:17,0.2218370883882149,22.183708838821488,449,2016-10-05,10,30,2,Wednesday,0,1,Low
BHMBCCMKT01,577,148,2016-10-05 11:04:19,0.2564991334488735,25.64991334488735,429,2016-10-05,11,4,2,Wednesday,0,1,Low
BHMBCCMKT01,577,162,2016-10-05 11:30:18,0.2807625649913345,28.07625649913345,415,2016-10-05,11,30,2,Wednesday,0,1,Low
BHMBCCMKT01,577,178,2016-10-05 12:04:14,0.3084922010398613,30.84922010398613,399,2016-10-05,12,4,2,Wednesday,0,1,Moderate
BHMBCCMKT01,577,183,2016-10-05 12:30:16,0.317157712305026,31.7157712305026,394,2016-10-05,12,30,2,Wednesday,0,1,Moderate
BHMBCCMKT01,577,175,2016-10-05 12:57:15,0.3032928942807625,30.32928942807625,402,2016-10-05,12,57,2,Wednesday,0,1,Moderate
BHMBCCMKT01,577,179,2016-10-05 13:30:19,0.3102253032928942,31.022530329289427,398,2016-10-05,13,30,2,Wednesday,0,1,Moderate
BHMBCCMKT01,577,174,2016-10-05 13:57:20,0.3015597920277296,30.155979202772965,403,2016-10-05,13,57,2,Wednesday,0,1,Moderate
BHMBCCMKT01,577,158,2016-10-05 14:30:17,0.2738301559792028,27.38301559792028,419,2016-10-05,14,30,2,Wednesday,0,1,Low
